Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,
2009-05-14,Cobar,5.4,20.4,0,4.6,10,WSW,31,SW,WSW,6,15,51,35,1019.4,1016.6,0,3,13.4,19.2,No,No,
2009-06-10,Cobar,6.2,11.5,0,1.6,10,SSW,31,NA,SSW,NA,17,NA,42,NA,1022,NA,4,NA,10.5,No,No,
2009-06-19,Cobar,6.7,17.3,0,2.2,8,ESE,22,ESE,ESE,13,9,83,51,1026.2,1023.1,2,6,10.2,17.1,No,No,
2009-07-03,Cobar,8.5,14.3,0,2.8,5,WSW,48,WSW,SW,20,24,83,49,1016,1015.5,7,5,10,12.6,No,No,
2009-07-09,Cobar,6.3,17,0,2.2,10,ENE,30,E,E,19,11,64,42,1027.8,1024.9,1,1,9.8,16.9,No,No,
2009-07-10,Cobar,5.6,17.6,0,2.4,10,E,30,E,ENE,20,11,78,42,1025.2,1021.1,2,2,9.1,17.5,No,No,
2009-07-11,Cobar,8.4,18.4,0,2.8,7,ENE,33,NE,N,15,17,65,42,1019.7,1015.2,4,3,10.9,17.9,No,No,
2009-08-20,Cobar,10,22.8,0,3.4,10,WSW,22,ENE,NW,2,11,37,28,1019.8,1015.3,6,1,16.6,21.9,No,No,
2009-08-23,Cobar,14.1,28.9,0.2,2.2,7,WNW,37,NE,NW,13,17,69,29,1011.2,1007,7,5,17.2,28.5,No,No,
2009-08-26,Cobar,6.2,18.8,0,4.2,11,W,22,SSE,W,9,13,51,30,1021.4,1018.4,0,0,12,18.1,No,No,
2009-09-01,Cobar,6.6,21.1,0,4.8,11,NE,22,SSE,W,4,6,47,28,1023.7,1020.2,0,2,15.2,20.4,No,No,
2009-09-13,Cobar,14.5,32.7,0,10.8,11,NW,46,N,NW,19,20,17,7,1018.8,1015.8,0,0,22.9,32.2,No,No,
2009-10-06,Cobar,8,22.4,0,7.6,12,SW,41,S,SW,7,20,44,23,1021.6,1018.2,1,4,15.1,21.1,No,No,
2009-10-07,Cobar,5.4,18.1,0,8.4,12,SW,44,SSW,SW,19,20,51,26,1020.6,1019.3,0,2,9.7,17.1,No,No,
2009-10-23,Cobar,17.5,35.1,0,11.2,11,SSW,43,ESE,SSW,13,6,19,13,1019,1016.7,3,3,28,33.2,No,No,
2009-10-24,Cobar,17.3,31.3,0,NA,7,SSW,37,E,SW,6,15,21,18,1020,1017.7,7,7,21.8,28.5,No,No,
2009-10-28,Cobar,15.3,26.1,0.2,3.6,8,ENE,35,ENE,NNE,20,7,73,57,1021.9,1019.4,7,6,18.6,24.1,No,No,
2009-11-25,Cobar,19.4,36.7,0,6.4,12,E,54,NE,NE,26,19,44,22,1017.4,1013,1,6,27.5,34.8,No,No,
2009-11-29,Cobar,18.5,26.2,0,15.6,12,W,57,WSW,W,30,24,42,25,1006.2,1005.4,3,1,20,24.5,No,No,
2009-12-10,Cobar,18.9,35,0,10.4,4,WSW,54,NNE,W,15,28,14,13,1008.6,1007.1,6,8,26.7,32.1,No,No,
2009-12-23,Cobar,21.9,39.7,0,12.8,12,NNE,39,N,NE,17,17,44,20,1011.7,1008.8,1,3,29.5,37.6,No,No,
2010-01-07,Cobar,22.7,35.7,0,8.8,11,SW,30,S,SW,7,7,26,15,1013.7,1010.8,6,5,25.6,34.9,No,No,
2010-01-09,Cobar,23.3,37.2,0,12.6,11,N,33,NNE,NNE,17,7,46,26,1017.3,1015.2,0,3,28.9,34.8,No,No,
2010-01-17,Cobar,21.2,29,0,13,12,SW,43,SSW,SSW,20,17,42,13,1008.5,1007.1,1,1,21.9,28.4,No,No,
2010-01-26,Cobar,24.2,41.3,0,14.6,12,SSW,33,ESE,W,11,9,11,6,1009.8,1006.7,1,1,31.5,40.4,No,No,
2010-01-31,Cobar,24,34.1,0,15.8,8,E,43,ENE,ENE,24,9,45,29,1010.4,1007.5,5,7,26.5,33,No,No,
2010-02-14,Cobar,21.1,26.5,44,1.7,4,N,44,NNW,SSW,19,13,96,76,1002.8,1004.7,8,7,22.5,24.5,Yes,No,
2010-02-25,Cobar,19.3,33.8,0,9.4,12,ENE,37,E,ENE,20,13,64,34,1018.8,1017.4,1,4,22.5,32.5,No,No,
2010-03-13,Cobar,16.3,28,0,7.6,10,ENE,43,ENE,ENE,20,9,60,37,1030.3,1027.2,1,6,19,25.8,No,No,
2010-04-08,Cobar,17.5,25.5,6.4,2.2,6,WSW,30,SSW,SW,11,13,78,48,1018.5,1016.4,7,7,19.8,24.7,Yes,No,
2010-04-16,Cobar,11.8,27.6,0,4.4,10,NE,30,ENE,NNE,13,6,40,29,1023.5,1020.4,1,3,20.1,26.6,No,No,
2010-05-12,Cobar,3.5,15.7,0,4.6,10,SSW,31,S,S,9,13,54,28,1023.6,1022.2,NA,0,9.3,15.2,No,No,
2010-05-19,Cobar,7.2,21,0,2.4,8,SE,20,ESE,SSE,6,6,46,26,1022.7,1020.3,1,1,14.9,20.6,No,No,
2010-05-22,Cobar,6.3,18.9,0,3.6,10,SSE,24,SSE,SSE,7,11,48,28,1021.6,1018.7,0,1,13.5,18.4,No,No,
2010-06-08,Cobar,2,15.8,0,0.8,8,W,24,SSE,W,6,9,88,47,1024,1020,1,1,7.5,14.6,No,No,
2010-06-19,Cobar,4,17.4,0,1.8,8,WSW,24,WSW,W,7,9,73,52,1024.7,1023.1,1,4,9.8,17.1,No,No,
2010-06-26,Cobar,9.9,13.6,8.6,2.8,7,SSW,33,SSW,S,11,13,87,51,1023.2,1022.1,8,2,10,13.5,Yes,No,
2009-01-10,CoffsHarbour,16.9,24.2,3.2,2.6,12,SW,30,SW,SE,20,15,59,47,1015.5,1013.5,2,2,21.2,23.3,Yes,No,
2009-01-12,CoffsHarbour,17.5,27.4,0,5.6,12,E,31,E,E,11,19,67,63,1014.5,1014.3,5,3,24.8,26,No,No,
2009-01-20,CoffsHarbour,20.2,28.5,0,5.4,8,NNE,59,NNW,NNE,17,39,64,60,1016.9,1014,7,5,23.4,26.4,No,No,
2009-01-26,CoffsHarbour,20.1,27.1,6,9.2,8,SSE,31,SSW,SE,20,15,87,76,1018.2,1017,7,3,23,26.1,Yes,Yes,
2009-02-02,CoffsHarbour,21.6,28.3,2.4,6.8,9,SE,26,SW,E,11,15,83,62,1014.9,1012.7,7,6,24.8,26.6,Yes,No,
2009-02-22,CoffsHarbour,18.6,26.8,15.8,5.6,12,SW,30,SW,SE,19,22,75,69,1016.4,1015.8,4,2,22.7,26.2,Yes,No,
2009-03-04,CoffsHarbour,21.1,30.4,0.6,1.8,5,NNE,48,NNW,NNE,20,31,68,80,1012,1007.7,3,7,26.5,26.6,No,Yes,
2009-03-10,CoffsHarbour,19.8,27.1,24.4,8.6,9,ESE,35,SW,ESE,17,22,83,60,1018.9,1017.9,6,6,22,26,Yes,Yes,
2009-03-13,CoffsHarbour,18.5,26.9,0,3.2,11,ENE,30,SW,ENE,7,20,68,60,1018.9,1016.6,2,5,23.3,26.4,No,No,
2009-03-14,CoffsHarbour,18.2,28.2,0,6.8,9,NNE,50,NNW,NE,13,35,67,68,1016.3,1012.8,1,1,24,25.9,No,Yes,
2009-03-19,CoffsHarbour,17.7,26.7,0,4,6,NNE,31,WNW,NE,11,24,76,66,1017.2,1015,5,5,23.2,25.1,No,No,
2009-03-22,CoffsHarbour,17,25.9,0.4,3.2,9,SSW,33,SW,SSE,13,13,78,63,1017,1015.1,7,5,20.6,25,No,Yes,
2009-04-18,CoffsHarbour,13.8,24,0.2,4.2,9,S,56,SW,SSW,22,26,50,58,1016.9,1015,3,6,21.1,22,No,Yes,
2009-05-07,CoffsHarbour,11.6,22.3,1.2,1.8,10,ESE,17,WSW,E,6,11,71,59,1023.8,1020.3,1,2,18.3,21.8,Yes,No,
2009-05-12,CoffsHarbour,8.9,19.9,0.2,3,9,SSE,26,SW,ESE,9,9,67,50,1020.9,1017.1,3,NA,17.3,19.3,No,No,
2009-05-15,CoffsHarbour,5.9,23.2,0,2.2,10,N,30,WNW,N,7,17,63,35,1016.7,1012.3,1,1,16.3,22.3,No,No,
2009-06-13,CoffsHarbour,7,21.3,0,1.8,9,NW,31,WNW,ESE,13,9,54,52,1019.3,1015.4,7,3,14.5,18.3,No,No,
2009-07-17,CoffsHarbour,7.5,18.2,0,1.2,9,SW,56,SW,SSW,28,31,48,45,1015.5,1015.8,2,5,14.5,17.5,No,No,
2009-07-27,CoffsHarbour,10.8,20.1,0,1,10,NW,41,S,SSE,13,20,67,46,1014.6,1015.4,1,1,16.3,18.2,No,No,
2009-07-31,CoffsHarbour,4.5,19.7,0,3.2,10,SW,33,SW,SSW,17,19,65,36,1021.8,1018.9,0,0,13.1,19.3,No,No,
2009-08-01,CoffsHarbour,4.8,17.8,0,2.4,10,SSE,19,NA,ENE,0,13,64,50,1025.7,1022.4,0,0,14.3,17.5,No,No,
2009-08-03,CoffsHarbour,5.7,20.2,0,2,10,NW,22,SW,E,7,13,57,41,1021.7,1019.9,0,0,14.4,18.7,No,No,
2009-08-06,CoffsHarbour,4.8,19,0,2.8,10,ENE,28,SW,NE,7,19,67,63,1024.2,1020.3,1,3,14.9,18.4,No,No,
2009-09-03,CoffsHarbour,12.2,23.1,0,3.4,9,NNE,52,NNW,NNE,19,37,51,54,1023.7,1019.7,1,5,20.6,20.7,No,No,
2009-09-09,CoffsHarbour,6.6,20.1,0,3.4,11,E,28,SSE,ENE,9,19,39,44,1013.5,1010.8,1,1,17.5,19.4,No,No,
2009-09-18,CoffsHarbour,16.2,26.2,0,6,9,SSW,43,NNE,NE,19,19,65,58,1017.3,1013.9,7,5,21.2,24.6,No,No,
2009-09-19,CoffsHarbour,14.1,24.4,0,4.4,8,E,28,S,ESE,17,9,54,74,1019.5,1014,3,5,20.7,21.5,No,No,
2009-10-09,CoffsHarbour,13.2,21.4,0,8.4,11,S,59,SW,S,31,31,45,47,1022.4,1020.7,1,1,16.8,20.6,No,No,
2009-10-23,CoffsHarbour,15.6,27.9,0,4.4,7,NNE,54,NE,NNE,22,30,58,60,1020,1015.9,1,7,24.2,23.2,No,No,
2009-10-28,CoffsHarbour,17,22.6,8.6,1.4,4,NA,NA,SSW,NE,9,15,84,60,1025.5,1023.1,5,7,19.4,21.5,Yes,No,
2009-10-29,CoffsHarbour,14.5,22.8,0,3,6,NA,NA,NA,NE,0,17,83,62,1025.1,1023.2,7,6,18.6,22.5,No,No,
2009-11-04,CoffsHarbour,17.6,30.2,0,6.8,8,NA,NA,SW,S,20,28,30,74,1013.8,1014.2,3,8,29.7,22.9,No,No,
2009-11-12,CoffsHarbour,14.6,24.9,0,6,13,NE,48,NNW,NE,11,33,60,62,1021,1017.2,1,1,23,23.8,No,No,
2009-12-01,CoffsHarbour,16.7,23.8,0.4,6.4,9,SSW,50,SSW,S,28,30,54,77,1013.8,1013.9,3,7,20.9,20.3,No,Yes,
2009-12-23,CoffsHarbour,18.5,28.4,0,2,12,NE,31,ESE,NE,9,20,70,72,1015.4,1014.8,1,1,25.9,27.2,No,No,
2009-12-25,CoffsHarbour,23,29,0,7,9,NNE,57,N,NNE,24,41,65,68,1012.6,1010,7,6,25.8,27.2,No,No,
2010-01-22,CoffsHarbour,18.1,31,0,5.8,13,NE,46,SSE,NE,2,17,52,63,1014.2,1012.3,2,3,27.4,28.2,No,No,
2010-01-26,CoffsHarbour,21.3,30.9,0,6.4,11,NE,54,SSW,NNE,7,31,70,51,1011.6,1008.3,1,3,27.9,30.3,No,No,
2010-02-03,CoffsHarbour,20.9,28,67,NA,6,NE,41,ENE,E,15,13,79,67,1011,1011,7,5,25.1,27.3,Yes,Yes,
2010-02-07,CoffsHarbour,21.6,27.5,80.6,NA,4,NNE,35,S,E,13,17,91,78,1018.4,1017.4,7,6,24.4,27.1,Yes,No,
2010-02-26,CoffsHarbour,18.4,26.5,10.6,4.4,7,ESE,41,SW,SE,22,19,85,61,1024.4,1022.6,2,2,21.1,25.6,Yes,Yes,
2010-03-26,CoffsHarbour,17.7,28.7,0,4,11,NE,41,NW,NE,13,30,68,66,1021.2,1017.9,1,1,23.7,26.1,No,No,
2010-03-28,CoffsHarbour,19,27.7,0,4.6,9,NE,39,NW,NE,13,22,79,64,1020.4,1017.6,7,3,23.4,26.6,No,No,
2010-04-05,CoffsHarbour,14.9,23.7,0.4,4,11,S,33,SW,S,20,15,61,56,1020,1017.4,2,1,21.6,23.4,No,No,
2010-04-09,CoffsHarbour,16.8,25.4,0.4,1,9,S,31,SSW,SE,13,13,57,63,1014.1,1010.4,1,7,23.8,23.7,No,No,
2010-04-18,CoffsHarbour,15.5,24.3,6.2,2.2,8,WSW,28,WSW,SSE,17,15,87,70,1026,1022.9,7,3,20.6,23.9,Yes,Yes,
2010-04-19,CoffsHarbour,17,23.8,8.6,2.2,5,SW,31,WSW,S,19,13,86,73,1025,1022.5,7,7,20.7,22.7,Yes,Yes,
2010-05-02,CoffsHarbour,12.9,26.5,0,3,9,NNE,37,N,NNE,2,28,66,63,1026.2,1023,1,1,21.8,24.3,No,No,
2010-05-14,CoffsHarbour,5.3,21.8,0,2.4,10,WSW,31,WSW,S,15,15,49,39,1017,1013.3,0,0,16.7,20.6,No,No,
2010-06-30,CoffsHarbour,1.3,16.7,0,1.6,9,SSE,22,WSW,S,6,9,69,45,1020.4,1018.5,3,3,10.5,16.4,No,No,
2010-08-12,CoffsHarbour,7.9,19.8,0,2.6,10,WSW,46,N,WSW,17,19,48,30,1006.1,1003.8,1,1,15.9,19,No,No,
2010-09-06,CoffsHarbour,14.2,19.7,0,5.8,9,WSW,28,WSW,E,19,13,35,37,1020.7,1017.5,1,1,18,19.1,No,No,
2010-09-24,CoffsHarbour,14.9,23.4,0,3,9,NNE,39,ESE,NNE,9,28,72,67,1022.8,1018.8,4,1,21.2,23.2,No,No,
2010-09-25,CoffsHarbour,15.7,25.8,0,3.8,7,NNE,52,NNE,N,19,28,63,63,1019.1,1014.8,1,7,22.2,23.1,No,No,
2010-10-30,CoffsHarbour,17.8,24.8,0,4.2,11,NNE,54,N,NNE,22,37,64,69,1017.9,1015.2,3,4,22.9,22.9,No,No,
2010-11-13,CoffsHarbour,20.7,26.7,0,6.4,12,NNE,57,N,NNE,22,39,62,62,1019.6,1017.8,1,3,24.9,24,No,No,
2010-11-21,CoffsHarbour,13.4,23,0.4,2.4,5,ESE,22,SW,ESE,13,13,69,56,1024.3,1022.9,8,7,20,22.3,No,No,
2010-12-21,CoffsHarbour,9.6,25,0,6.8,13,NE,37,WSW,NE,13,28,40,46,1012.1,1010.2,1,1,21.5,24.6,No,No,
2010-12-22,CoffsHarbour,16.2,27,0,7.8,10,NE,33,E,ENE,11,17,59,49,1017.2,1017.7,6,7,24.9,25.8,No,Yes,
2011-01-01,CoffsHarbour,17.8,27.1,0,6,13,NE,52,NNW,NE,6,31,58,66,1015.9,1013.3,2,1,25,26.6,No,No,
2011-01-07,CoffsHarbour,18.4,26.6,44.4,1,5,NE,56,SW,E,7,17,95,65,1011.6,1010.5,8,6,20.1,26.1,Yes,Yes,
2011-01-09,CoffsHarbour,22.2,27.6,13,2,6,NA,NA,ESE,ESE,19,19,73,74,1011.4,1011,7,7,26.6,26.2,Yes,Yes,
2011-01-17,CoffsHarbour,17.4,27.3,0,6.8,13,NNE,31,NW,NE,9,17,61,64,1004.4,1001.7,1,1,24.7,26.5,No,No,
2011-01-23,CoffsHarbour,16.7,26.3,1.6,5.6,12,SW,28,WSW,ESE,20,17,65,53,1012.5,1010.9,7,1,22.9,25.8,Yes,No,
2011-02-16,CoffsHarbour,18.8,27.2,3.6,3.4,5,ENE,35,SSW,SSE,11,9,92,80,1019.1,1016.4,8,7,21.8,24.8,Yes,No,
2011-02-23,CoffsHarbour,16.4,24.3,1.6,3.4,8,S,57,SW,SW,24,30,74,64,1019.7,1018.5,6,6,19.7,23.5,Yes,No,
2011-03-02,CoffsHarbour,20.1,27.3,9.4,6.2,5,WSW,39,WSW,SW,20,20,82,82,1014,1012.5,7,7,24.2,24.7,Yes,Yes,
2011-03-17,CoffsHarbour,20.2,27.1,0,2.8,5,ESE,46,NA,NE,0,19,81,80,1018.1,1015.6,7,8,24,24.9,No,Yes,
2011-03-18,CoffsHarbour,19.1,26.4,1.6,2.6,4,SSE,24,WNW,S,4,17,87,77,1013.7,1011.5,7,7,22.1,25.2,Yes,No,
2011-05-14,CoffsHarbour,6.4,19.5,0,2.4,10,SW,33,WSW,SE,20,9,46,42,1015.6,1014.6,1,1,15.4,18.5,No,No,
2011-05-15,CoffsHarbour,9.2,19.9,0,2.8,10,SW,39,SW,S,20,22,43,47,1027.1,1026.3,1,1,15.5,19.1,No,No,
2011-07-18,CoffsHarbour,9.2,19.2,1,1.2,8,SE,19,WNW,SSE,6,7,88,68,1018.6,1015.1,1,5,14.2,18.2,No,No,
2011-08-01,CoffsHarbour,5.6,19.7,0,2,10,NNW,37,NNW,NE,6,11,68,52,1023.7,1021.3,0,1,15.5,19,No,No,
2011-08-04,CoffsHarbour,8.6,21.7,0,2.6,10,NNE,41,NW,NE,11,28,65,56,1029.1,1026.7,1,1,17.9,19.6,No,No,
2011-08-05,CoffsHarbour,10.6,22.1,0,2.6,10,N,43,NW,N,17,26,54,37,1029.3,1024.5,2,1,18.4,20.9,No,No,
2011-09-13,CoffsHarbour,6.6,20.6,0.6,3.4,11,NNE,39,SW,NE,6,30,45,53,1027.7,1023.3,1,0,17.9,20,No,No,
2011-09-15,CoffsHarbour,6.4,27.1,0,3.4,11,SW,31,NA,E,0,15,39,57,1021.6,1018.4,1,1,21.6,21.8,No,No,
2011-09-29,CoffsHarbour,15.9,21,1.4,2.8,4,NW,52,N,N,22,19,86,70,1007.8,1000.1,8,4,16.3,19.7,Yes,No,
2011-09-30,CoffsHarbour,8.2,21.6,0.8,2.8,11,WNW,41,SE,NE,13,24,35,40,1008.8,1005.1,3,2,19.3,20.7,No,No,
2011-10-03,CoffsHarbour,11.4,18.9,21.6,3.2,7,SSW,52,SW,S,28,37,61,64,1019.2,1018.4,7,7,16.1,17.3,Yes,No,
2011-10-19,CoffsHarbour,13.1,21.4,0.6,3,11,WSW,31,WSW,ESE,20,15,60,48,1031.2,1028.6,3,2,18.5,20.9,No,No,
2011-10-22,CoffsHarbour,13.4,24,0,5.8,12,NE,46,NNW,NE,20,31,62,60,1025,1022.6,2,2,21.5,22.9,No,No,
2011-11-15,CoffsHarbour,17.6,25.1,0,5.2,9,S,35,SSE,SSW,19,26,69,74,1017.3,1017,0,3,23.3,22.7,No,No,
2011-11-19,CoffsHarbour,19.1,28.2,0.2,4,13,NE,57,N,NE,19,39,67,66,1017.5,1013.8,1,1,25.4,25.6,No,No,
2011-12-13,CoffsHarbour,14.9,24,4.8,2.6,9,S,35,SSE,SSE,15,24,75,67,1006.2,1006.5,1,4,21.6,23.3,Yes,No,
2011-12-17,CoffsHarbour,16.1,23.7,0,6.6,10,S,37,SSW,SSE,20,24,56,53,1021.4,1020.1,3,1,21.3,23.1,No,No,
2011-12-29,CoffsHarbour,18.1,25.5,0,7.8,10,S,57,SSW,S,30,35,60,55,1011.5,1011.9,3,3,22.2,24.6,No,No,
2012-01-04,CoffsHarbour,19.6,28.6,0,7.4,10,NE,56,NNW,NNE,24,39,56,57,1015.9,1011.6,1,1,24.9,26.5,No,No,
2012-01-07,CoffsHarbour,18.3,26.1,0,7.6,9,SW,28,SW,E,15,15,61,63,1015.6,1013.1,3,7,22.9,24.7,No,No,
2012-01-18,CoffsHarbour,20,26.6,62.4,4.9,9,SSW,33,SSW,S,20,22,88,77,1014.4,1012.9,6,1,22.1,25.6,Yes,No,
2012-02-11,CoffsHarbour,19.7,28.2,3.8,4.4,5,S,61,N,NE,15,33,95,70,1011.9,1007,7,3,20.4,26.9,Yes,Yes,
2012-02-17,CoffsHarbour,17.2,26.3,0.4,5.6,11,E,30,W,E,7,19,71,60,1018.4,1015.9,3,4,23,25.9,No,No,
2012-02-21,CoffsHarbour,21,27.6,40.4,9.4,6,S,50,NW,S,15,30,85,84,1006.9,1007.8,7,7,22.3,23.4,Yes,No,
2012-02-28,CoffsHarbour,21.4,30.2,0,2.6,11,NNE,56,NNW,NNE,19,37,70,64,1016.6,1013.3,6,5,25.8,27.3,No,No,
2012-03-26,CoffsHarbour,17.4,24,16.8,3.8,6,SSE,19,W,SE,11,9,96,55,1023.6,1021.5,8,4,17.8,23.5,Yes,No,
2012-03-30,CoffsHarbour,16,25,0,3.6,9,SW,33,WSW,SE,11,17,77,65,1017.7,1015.5,2,3,21.2,24,No,Yes,
2012-04-01,CoffsHarbour,16.6,25.7,0,4.8,11,S,39,SW,S,20,26,56,54,1017.4,1014.8,1,1,23,25.3,No,No,
2012-04-09,CoffsHarbour,18.3,27,0,4.2,7,NNW,48,NNW,SE,17,22,60,74,1014.7,1013.5,2,6,24.5,23.6,No,Yes,
2012-04-16,CoffsHarbour,17.7,24.8,0.4,2.2,7,S,31,SW,ESE,19,9,74,78,1022,1018.3,4,7,22.4,22.5,No,Yes,
2012-04-23,CoffsHarbour,17.1,28.4,0,1.8,8,SSW,43,NNW,NE,6,26,71,77,1014.3,1011.3,4,7,24.5,25.3,No,Yes,
2012-05-05,CoffsHarbour,14.8,22.2,0,2.8,10,SW,37,SW,S,26,17,63,41,1014.5,1012.4,1,1,18.9,21.9,No,No,
2012-05-26,CoffsHarbour,5.9,19.2,1,1.2,10,SW,30,NW,NNE,6,20,54,40,1017,1013.8,1,0,14.8,18,No,No,
2012-05-28,CoffsHarbour,11.1,20,0,2.6,7,SSW,52,SW,SSW,30,37,61,64,1023.2,1022.1,1,7,16.5,18.1,No,No,
2012-06-06,CoffsHarbour,5.9,18.2,0,2.2,7,SW,67,SW,SSW,39,39,58,65,1010.6,1012.9,5,6,16.5,16.1,No,No,
2012-06-09,CoffsHarbour,6.9,18,0,2.2,9,SW,33,SW,S,13,13,66,70,1025.5,1023.4,1,1,14.2,17.8,No,No,
2012-07-17,CoffsHarbour,5.6,19.9,0,2.2,7,NA,NA,WNW,E,7,9,75,61,1028.1,1023.9,2,5,13.7,18.3,No,Yes,
2012-07-20,CoffsHarbour,11.2,18.7,0,3.6,7,SW,61,SW,SSW,33,41,55,44,1021,1019.7,2,2,15.5,17.5,No,No,
2012-08-07,CoffsHarbour,2.2,17.1,0,2.8,10,S,26,SSW,E,6,11,45,38,1024.5,1022.2,0,0,13.4,16.8,No,No,
2012-10-01,CoffsHarbour,11.1,20.6,0.2,5,5,SSW,28,S,SE,17,15,49,48,1026.9,1025.1,5,7,17.9,19.1,No,No,
2012-10-08,CoffsHarbour,14.1,20.3,0,6.4,8,SW,30,SW,ESE,20,15,55,59,1017.2,1012.8,5,4,18,19.2,No,No,
2012-11-13,CoffsHarbour,13.6,26.5,0,4.2,13,NE,54,NNE,NNE,9,33,49,59,1019.4,1016.6,1,1,22.5,24.4,No,No,
2013-01-30,CoffsHarbour,21.5,26.4,0.2,2.8,9,SSW,35,SW,S,15,17,88,80,1013.4,1013.4,8,2,22.4,25.6,No,No,
2013-03-19,CoffsHarbour,16.7,24,9.4,3.4,6,ESE,31,NW,SE,9,17,86,56,1023,1022.2,7,2,18.7,23.4,Yes,Yes,
2013-04-03,CoffsHarbour,16,25.6,0,3.6,9,S,70,SW,S,9,22,80,55,1018.3,1017.4,2,6,21,25.3,No,Yes,
2013-05-20,CoffsHarbour,4.9,18,0,3.8,6,SSE,22,W,SSE,7,11,67,43,1019.2,1015.8,6,1,12.6,17.5,No,No,
2013-06-23,CoffsHarbour,7.2,18.5,0,3.6,9,SW,31,WSW,SSW,17,19,65,57,1026.3,1023.2,1,2,13.8,17.7,No,No,
2013-07-09,CoffsHarbour,5,18.1,0,3,8,SSE,46,SW,SSW,24,19,53,54,1031.8,1030.5,5,5,17.5,16.2,No,Yes,
2013-08-05,CoffsHarbour,4.7,20.2,0,2.2,10,NE,30,WNW,NE,7,17,60,47,1020.3,1016,3,3,16.2,18.8,No,No,
2013-09-30,CoffsHarbour,12.1,28.4,0,5.4,11,NNE,63,NNW,NE,26,39,52,63,1019.6,1014.7,1,0,23.8,23.2,No,No,
2013-10-14,CoffsHarbour,17.2,24,0.6,4.6,10,WSW,61,WSW,SSE,31,28,30,44,1012.7,1013.4,1,1,20.5,21.5,No,No,
2013-12-11,CoffsHarbour,19.5,26.3,0,3.2,7,NNW,37,S,SSE,9,11,82,77,1009.2,1005.9,7,8,25,23.5,No,No,
